,Date,Close,Open,High,Low,Volume,Change,ticker,Symbol,Name,Industry,IndustryCode 
84,2021-03-30,239.6,237.68,240.46,233.21,857220,-0.0036,SNPS,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
8,2021-03-30,236.54,236.55,237.62,232.8,6240000,0.0037,PYPL,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
1,2021-03-30,231.85,233.58,233.73,231.12,24790000,-0.0144,MSFT,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
43,2021-03-30,218.23,208.93,223.5,206.12,42250000,0.0661,BIDU,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
56,2021-03-30,212.99,214.67,214.67,212.38,1270000,-0.0172,VRTX,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
46,2021-03-30,204.94,208.62,208.65,204.32,1030000,-0.0193,CME,CME,CME Group Inc Class A,투자은행 및 서비스,551020
55,2021-03-30,204.43,199.32,205.79,198.9,883660,-0.0008,TEAM,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
53,2021-03-30,197.77,192.5,198.81,192.36,2320000,0.0187,NXPI,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
79,2021-03-30,196.94,192.31,197.97,192.31,2200000,-0.0023,DOCU,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
42,2021-03-30,187.89,192.72,193.26,187.21,1770000,-0.0239,ADP,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
17,2021-03-30,185.94,187.09,188.08,184.63,4460000,-0.0013,TXN,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
31,2021-03-30,183.1,182.29,184.97,178.43,2900000,0.0033,ABNB,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
75,2021-03-30,175.28,170.83,176.19,168.81,4280000,0.0082,CRWD,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
81,2021-03-30,172.22,175.68,175.76,171.65,1160000,-0.0268,TROW,TROW,T. Rowe Price Group Inc,투자은행 및 서비스,551020
93,2021-03-30,153.45,154.2,154.41,153.17,1560000,-0.0136,ALXN,ALXN,Alexion Pharmaceuticals Inc,제약,562010
